fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
142,142,0,15.63375,21.78732,0.998,1.9,0.0,0.434435517,4.168405153,1998-01-01,1998-05-22,217.5668385157783,223.60588444240602,2.9219775382816824,0.14609887691408413,2.775878661367598,0.0,0.0,87.76898355901938,0.0,26.557554358844804,7.80681385909468,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
143,143,0,8.96016,21.44064,0.823,1.45,0.0,0.433266755,1.582307953,1998-01-01,1998-05-23,218.9892770127469,224.92712015129285,2.945814847160743,0.14729074235803716,2.7985241048027056,0.0,0.0,88.33127362852629,0.0,26.77420921605378,7.816726619768744,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
144,144,0,9.91353,22.04733,0.943,1.55,0.0,0.432147936,3.900790743,1998-01-01,1998-05-24,220.41006274186725,226.24859701473503,2.9696400952786908,0.14848200476393456,2.821158090514756,0.0,0.0,88.89412796235172,0.0,26.990754454241152,7.826618176481537,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
145,145,0,10.866900000000001,23.347379999999998,1.093,1.0,0.0,0.431078065,5.083238649,1998-01-01,1998-05-25,221.82922411022017,227.5703034617573,2.993451974580708,0.1496725987290354,2.8437793758516725,0.0,0.0,89.45754384826253,0.0,27.207178184630763,7.836486249646861,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
146,146,0,13.987020000000001,22.134,1.213,1.15,1.0,0.430056185,6.545803182,1998-01-01,1998-05-26,223.24678822579838,228.8922279487091,2.6296952658310477,0.1314847632915524,2.498210502539495,0.0,0.0,90.0215185779605,0.0,24.4781263739024,7.277195348939712,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
147,147,0,15.46041,22.39401,1.278,1.05,4.0,0.429081385,6.821575524,1998-01-01,1998-05-27,224.25870802863002,230.21435895949338,2.739791142865223,0.13698955714326116,2.602801585721962,0.0,0.0,90.83884240446432,0.0,25.502937433307213,7.7289571192468,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
148,148,0,15.547080000000001,18.58053,1.368,0.9,6.0,0.428152795,7.142850564,1998-01-01,1998-05-28,225.65418878913414,231.5366850057939,3.0684649773145667,0.15342324886572833,2.915041728448838,0.0,0.0,91.39327018141346,0.0,27.888963678059348,7.873218017636493,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
149,149,0,14.767050000000001,22.134,1.243,0.75,0.0,0.427269586,5.020419764,1998-01-01,1998-05-29,227.07244644791626,232.8591946272989,2.6393628895893513,0.13196814447946756,2.5073947451098837,0.0,0.0,91.95790768349619,0.0,24.56811600850605,7.313475271678541,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
150,150,0,12.42696,24.82077,1.298,1.8,9.0,0.426430969,4.400072314,1998-01-01,1998-05-30,228.3867789018251,234.18187639192348,3.1166506855609986,0.15583253427804994,2.9608181512829486,0.0,0.0,92.48228596545466,0.0,28.326918641541592,7.89561311215513,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
151,151,0,16.153769999999998,19.36056,1.298,1.0,15.0,0.425636195,6.605147082,1998-01-01,1998-05-31,229.8028352978356,235.50471889602875,3.1402630219187047,0.15701315109593525,2.9832498708227693,0.0,0.0,93.04822014215453,0.0,28.541528746562406,7.905100979368035,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
